"regno","subno","name","orgtype","gd","aob","aob_defined","nhs","ha_no","corr","add1","add2","add3","add4","add5","phone","fax","EmployerName","Address","CompanyNumber","SicCodes","DiffMeanHourlyPercent","DiffMedianHourlyPercent","DiffMeanBonusPercent","DiffMedianBonusPercent","MaleBonusPercent","FemaleBonusPercent","MaleLowerQuartile","FemaleLowerQuartile","MaleLowerMiddleQuartile","FemaleLowerMiddleQuartile","MaleUpperMiddleQuartile","FemaleUpperMiddleQuartile","MaleTopQuartile","FemaleTopQuartile","CompanyLinkToGPGInfo","ResponsiblePerson","EmployerSize","CurrentName","SubmittedAfterTheDeadline"
"509551","0","DOVE HOUSE HOSPICE LIMITED","R","MEMORANDUM AND ARTICLES OF ASSOCIATION INCORPORATED 28 MAY 1980 AS AMENDED 21 DECEMBER 2005&#x0D;
AS AMENDED BY CERTIFICATE OF INCORPORATION ON CHANGE OF NAME DATED 17 AUG 2016&#x0D;
AS AMENDED BY SPECIAL RESOLUTION(S) DATED 19 AUG 2016;","NORTH HUMBERSIDE","","F","","MR CHRIS SADLER","DOVE HOUSE HOSPICE","CHAMBERLAIN ROAD","HULL","","","01482 784343","","DOVE HOUSE HOSPICE LIMITED","Dove House Hospice, Chamberlain Road,
Hull,
N. Humberside,
HU8 8DH","01498747","85590,
86220,
88990",4.1,6.5,94,65,9.1,2,17,83,33,67,31,69,30,70,"","Anna Wolkowski (Chief Executive)","250 to 499","DOVE HOUSE HOSPICE LIMITED","False"
"249077","0","CHARITY OF JOHN PATTISON                                                                                                                              ","R","WILL PROVED AT NEWCASTLE UPON TYNE ON 14TH MAY 1908. (U.V. 149 PAGE 64/5);","NORTH SHIELDS.","","F","","MR JEFFREY LEDGER","DIOCESE OF HEXHAM & NEWCASTLE","ST. CUTHBERTS HOUSE","WEST ROAD","NEWCASTLE UPON TYNE","","0191 2433300                       ","","ST CUTHBERT'S CARE","St Cuthbert's House, West Road,
Newcastle Upon Tyne,
England,
NE15 7PY","01645917","87100,
87200,
87900,
88990",0.3,-0.5,0,0,0,0,10,90,15,85,13,87,18,82,"http://www.stcuthbertscare.org.uk/download/stCuthbertsCare/GenderPayGapReport.pdf","Geraldine Martin (Director of Human Resources)","Not Provided","ST CUTHBERT'S CARE","False"
"700370","0","ACCESSIBLE TRANSPORT GROUP LIMITED","R","MEMORANDUM  AND ARTICLES INCORPORATED 31/05/1988&#x0D;
AS AMENDED BY SPECIAL RESOLUTION(S) DATED 13/07/2005&#x0D;
NOW ARTICLES ADOPTED BY SPECIAL RESOLUTION DATED 22/09/2010&#x0D;
AS AMENDED BY SPECIAL RESOLUTION(S) DATED 23/02/2011&#x0D;
AS AMENDED BY SPECIAL RESOLUTION(S) DATED 27/03/2013&#x0D;
AS AMENDED BY CERTIFICATE OF INCORPORATION ON CHANGE OF NAME DATED 23/05/2013&#x0D;
AS AMENDED BY CERTIFICATE OF INCORPORATION ON CHANGE OF NAME DATED 08 DEC 2016;","NOT DEFINED.","","F","","ACCESSIBLE TRANSPORT GROUP","80 PARK ROAD","BIRMINGHAM","","","","0121 327 8128","","RING AND RIDE WEST MIDLANDS LIMITED","80 Park Road,
Birmingham,
West Midlands,
United Kingdom,
B6 5PL","08355288","49319",-3,0,0,0,0,0,71,29,88,12,88,12,74,26,"","Sally-Ann McKevitt (Head of HR and Service Development)","250 to 499","RING AND RIDE WEST MIDLANDS LIMITED","False"
"700636","0","ASHGATE HOSPICECARE","R","MEMORANDUM  AND ARTICLES INCORPORATED 02/06/1988&#x0D;
NOW ARTICLES ADOPTED BY SPECIAL RESOLUTION DATED 24/07/2014&#x0D;
AS AMENDED BY CERTIFICATE OF INCORPORATION ON CHANGE OF NAME DATED 23/10/2014&#x0D;
AS AMENDED BY SPECIAL RESOLUTION(S) DATED 21 APR 2016;","NOT DEFINED","","F","","Peter Bradbury","Ashgate Hospice","Ashgate Road","Chesterfield","","","01246 568801","","ASHGATE HOSPICECARE","Ashgate Hospicecare Ashgate Road,
Old Brampton,
Chesterfield,
Derbyshire,
United Kingdom,
S42 7JD","02263980","86101",0.5,-19,0,0,0,0,20.8,79.2,10.4,89.6,10.4,89.6,10.4,89.6,"https://www.ashgatehospicecare.org.uk/files/Gender-Pay-Gap-2017-18.pdf","Barbara-Anne Walker (Chief Executive)","250 to 499","Ashgate Hospicecare","False"
"273589","0","WHITSTONE HEAD EDUCATIONAL TRUST LIMITED","R","MEMORANDUM AND ARTICLES OF ASSOCIATION INCORPORATED 15TH JULY 1976 AS AMENDED ON THE 12 DECEMBER 2002;","NOT DEFINED","","F","","WHITSTONE HEAD EDUCATIONAL TRUST LIMITED","C/O W VAUGHAN JONES & SUSAN CLAY","JONES GILES & CLAY LIMITED","11 COOPERS YARD","CURRAN ROAD","CARDIFF","","","CARTREFI CYMRU CO-OPERATIVE LIMITED","Units 5 & 6 Coopers Yard,
Curran Road,
Cardiff,
United Kingdom,
CF10 5NB","02420623","88100",1,0,0,0,0,0,31,69,22,78,23,77,23,77,"","Cathryn Ferris (Assistant Director (People))","1000 to 4999","CARTREFI CYMRU CO-OPERATIVE LIMITED","False"
"1000792","0","AUTISM WESSEX","R","MEMORANDUM  AND ARTICLES INCORPORATED 31/05/1990&#x0D;
AS AMENDED BY SPECIAL RESOLUTION(S) DATED 13/12/2004&#x0D;
AS AMENDED BY CERTIFICATE OF INCORPORATION ON CHANGE OF NAME DATED 07/02/2013&#x0D;
AS AMENDED BY SPECIAL RESOLUTION REGISTERED AT COMPANIES HOUSE ON 18/02/2013&#x0D;
NOW ARTICLES ADOPTED BY SPECIAL RESOLUTION DATED 21/11/2013;","DORSET, EAST SOMERSET, WEST HAMPSHIRE AND WILTSHIRE","","F","","Siun Cranny","AUTISM WESSEX                      ","BARGATES COURT                     ","22 BARGATES                        ","CHRISTCHURCH                       ","","01202 483360","","AUTISM WESSEX","Bargates Court,
22 Bargates,
Christchurch,
Dorset,
United Kingdom,
BH23 1QL","02506982","85590,
87900,
88990",-18.2,-8.8,0,0,0,0,33,67,35,65,29,71,32,68,"","Sarah Alderton (Head of HR)","250 to 499","Autism Wessex","True"
"226512","0","UNITED SOCIETY FOR CHRISTIAN LITERATURE                                                                                                               ","R","MEMORANDUM AND ARTICLES OF ASSOCIATION INCORPORATED 1899 AS AMENDED ON THE 14 MAY 1935 AND THE 24 APRIL 1951;","NATIONAL AND OVERSEAS","","F","","U S C L","The Foundry                        ","17 Oval Way                        ","LONDON                             ","","","02037525800            ","","THE FORWARD TRUST","17 Oval Way,
London,
United Kingdom,
SE11 5RR","02560474","87900,
88990",7,5,-28,-50,43,41,25,75,24,76,26,74,37,63,"https://www.forwardtrust.org.uk/news-and-updates/gender-pay-gap-report/","Mike Trace (CEO)","250 to 499","THE FORWARD TRUST","False"
"1001704","0","EMH CARE AND SUPPORT LIMITED","R","MEMORANDUM  AND ARTICLES INCORPORATED 04/04/1990&#x0D;
AS AMENDED BY SPECIAL RESOLUTION(S) DATED 21/12/1990&#x0D;
AS AMENDED BY CERTIFICATE OF INCORPORATION ON CHANGE OF NAME DATED 03/11/2003&#x0D;
AS AMENDED BY SPECIAL RESOLUTION(S) DATED 21/09/2006&#x0D;
AS AMENDED BY SPECIAL RESOLUTION REGISTERED AT COMPANIES HOUSE ON 21/03/2013&#x0D;
AS AMENDED BY SPECIAL RESOLUTION(S) DATED 18 SEP 2016&#x0D;
AS REGISTERED AT COMPANIES HOUSE ON 31 JAN 2017&#x0D;
AS AMENDED BY SPECIAL RESOLUTION(S) DATED 14 AUG 2017;","","","F","","Mrs K Hall","East Midlands Housing Group        ","Memorial House                     ","Whitwick Business Park             ","Stenson Road                       ","COALVILLE                          ","01530 276000","","EMH CARE AND SUPPORT LIMITED","02488821 Memorial House, Whitwick Business Park,
Stenson Road,
Coalville,
Leicestershire,
United Kingdom,
LE67 4JP","02488821","87200,
88100",-5.2,0,0,0,0,0,22.4,77.6,31.7,68.3,31,69,18.4,81.6,"http://www.emhgroup.org.uk/about-emh-group/","Joanne Tilley (Executive Director - Corporate Services)","Not Provided","EMH CARE AND SUPPORT LIMITED","False"
"1001704","0","EMH CARE AND SUPPORT LIMITED","R","MEMORANDUM  AND ARTICLES INCORPORATED 04/04/1990&#x0D;
AS AMENDED BY SPECIAL RESOLUTION(S) DATED 21/12/1990&#x0D;
AS AMENDED BY CERTIFICATE OF INCORPORATION ON CHANGE OF NAME DATED 03/11/2003&#x0D;
AS AMENDED BY SPECIAL RESOLUTION(S) DATED 21/09/2006&#x0D;
AS AMENDED BY SPECIAL RESOLUTION REGISTERED AT COMPANIES HOUSE ON 21/03/2013&#x0D;
AS AMENDED BY SPECIAL RESOLUTION(S) DATED 18 SEP 2016&#x0D;
AS REGISTERED AT COMPANIES HOUSE ON 31 JAN 2017&#x0D;
AS AMENDED BY SPECIAL RESOLUTION(S) DATED 14 AUG 2017;","","","F","","Mrs K Hall","East Midlands Housing Group        ","Memorial House                     ","Whitwick Business Park             ","Stenson Road                       ","COALVILLE                          ","01530 276000","","EMH CARE AND SUPPORT LIMITED","02488821 Memorial House, Whitwick Business Park,
Stenson Road,
Coalville,
Leicestershire,
United Kingdom,
LE67 4JP","02488821","87200,
88100",-5.2,0,0,0,0,0,22.4,77.6,31.7,68.3,31,69,18.4,81.6,"http://www.emhgroup.org.uk/about-emh-group/","Joanne Tilley (Executive Director - Corporate Services)","Not Provided","EMH CARE AND SUPPORT LIMITED","False"
"1002727","0","AVANTE CARE AND SUPPORT LIMITED","R","MEMORANDUM  AND ARTICLES INCORPORATED 04/12/1990&#x0D;
AS AMENDED BY SPECIAL RESOLUTION(S) DATED 11/01/1991&#x0D;
AS AMENDED BY SPECIAL RESOLUTION(S) DATED 10/06/2002&#x0D;
AS AMENDED BY SPECIAL RESOLUTION(S) DATED 21/08/2009&#x0D;
AS AMENDED BY SPECIAL RESOLUTION(S) DATED 25/11/2014&#x0D;
AS AMENDED BY CERTIFICATE OF INCORPORATION ON CHANGE OF NAME DATED 03/12/2014&#x0D;
AS AMENDED BY SPECIAL RESOLUTION(S) DATED 17/04/2015;","THE COUNTY OF KENT","","F","","AVANTE CARE & SUPPORT LIMITED","DE GELSEY HOUSE                    ","1 JUBILEE WAY                      ","FAVERSHAM                          ","KENT                               ","","01795597400","","AVANTE CARE AND SUPPORT LIMITED","De Gelsey House,
1 Jubilee Way,
Faversham,
Kent,
United Kingdom,
ME13 8GD","02565021","87300,
88100,
88990",18.2,8.8,84.3,92.9,4,3.8,6,94,8,92,10,90,12,88,"http://avantecare.org.uk/join-us/avante-gender-pay-gap-report/","Deborah Pert (Finance Director)","1000 to 4999","AVANTE CARE AND SUPPORT LIMITED","False"
"1004537","0","AVOCET TRUST","R","MEMORANDUM AND ARTICLES OF ASSOCIATION INCORPORATED 20 SEPT 1991 AS AMENDED BY SPECIAL RESOLUTION DATED 12 JUNE 1995; CERTIFICATE UPON CHANGE OF NAME DATED 22 NOV 1995; SPECIAL RESOLUTION DATED 25 OCT 2004; SPECIAL RESOLUTION DATED 16 OCT 2006.;","EAST RIDING OF YORKSHIRE NORTH AND NORTH EAST LINCOLNSHIRE COUNTY AND CITY OF KIGSTON UPON HULL","","F","","MR LES HOWELL","AVOCET TRUST","CLARENCE HOUSE","60-62 CLARENCE STREET","HULL","","01482 329 226","","AVOCET TRUST","CLARENCE HOUSE,
60-62 Clarence Street,
Hull,
East Yorkshire,
United Kingdom,
HU9 1DN","02647631","87200",6,0,0,0,0,0,22,78,21,79,27,73,19,81,"","Les Howell (CEO)","250 to 499","Avocet Trust","False"
"1007878","0","AUTISM TOGETHER","R","MEMORANDUM  AND ARTICLES INCORPORATED 29/10/1991&#x0D;
AS AMENDED BY SPECIAL RESOLUTION(S) DATED 26/09/2006&#x0D;
AS AMENDED BY SPECIAL RESOLUTION(S) DATED 27/09/2008&#x0D;
AS AMENDED BY SPECIAL RESOLUTION(S) DATED 02/03/2013&#x0D;
AS REGISTERED AT COMPANIES HOUSE ON 11/03/2013&#x0D;
AS AMENDED BY CERTIFICATE OF INCORPORATION ON CHANGE OF NAME DATED 22 JUN 2016;","NOT DEFINED","","F","","SUE STUBBS","Autism Together                    ","Unit C                             ","Oak House                          ","6 Tebay Road                       ","Bromborough                        ","0151 334 7510","","AUTISM TOGETHER","Wirral Centre For Autism Oak House (Unit C),
6 Tebay Road Bromborough,
Wirral,
Merseyside,
United Kingdom,
CH62 3PA","02658268","87200",-0.7,0,0,0,0,0,48,52,45,55,44,56,41,59,"http://www.autismtogether.co.uk/2017-2018-gender-pay-gap-data/","Jim Strain (HR & OD Director)","Not Provided","Autism Together","False"
"1003741","0","THE FERNDEN FOUNDATION                                                                                                                                ","R","TRUST DEED DATED 24TH. MAY 1991;","NOT DEFINED","","F","","G.L. PRAIN ESQ.","17 HYLTON ROAD","PETERSFIELD","","","","01730 231723","","FITZROY SUPPORT","Fitzroy House,
8 Hylton Road,
Petersfield,
Hampshire,
United Kingdom,
GU32 3JY","02699902","87900,
88100",-3.6,0.6,-288.1,-20,2.1,5.5,17.9,82.1,26,74,25.6,74.4,18.7,81.3,"https://www.fitzroy.org/wp-content/uploads/Gender-Pay-Reporting-Results.pdf","Robyn Wedderburn (HR Director)","1000 to 4999","Fitzroy Support","False"
"1015988","0","ROYAL VOLUNTARY SERVICE","R","MEMORANDUM  AND ARTICLES INCORPORATED 10/07/1990&#x0D;
AS AMENDED BY SPECIAL RESOLUTION(S) DATED 11/12/1992&#x0D;
AS AMENDED BY SPECIAL RESOLUTION(S) DATED 01/07/1993&#x0D;
AS AMENDED BY SPECIAL RESOLUTION(S) DATED 16/09/1993&#x0D;
AS AMENDED BY SPECIAL RESOLUTION(S) DATED 26/11/1998&#x0D;
AS AMENDED BY SPECIAL RESOLUTION(S) DATED 25/11/1999&#x0D;
AS AMENDED BY SPECIAL RESOLUTION(S) DATED 11/12/1999&#x0D;
AS AMENDED BY SPECIAL RESOLUTION(S) DATED 27/11/2001&#x0D;
AS AMENDED BY SPECIAL RESOLUTION(S) DATED 19/05/2003&#x0D;
AS AMENDED BY SPECIAL RESOLUTION(S) DATED 27/01/2004&#x0D;
AS AMENDED BY SPECIAL RESOLUTION(S) DATED 25/09/2007&#x0D;
AS AMENDED BY SPECIAL RESOLUTION(S) DATED 19/11/2012&#x0D;
AS AMENDED BY CERTIFICATE OF INCORPORATION ON CHANGE OF NAME DATED 10/05/2013&#x0D;
AS AMENDED BY SPECIAL RESOLUTION(S) DATED 25/09/2015;","PRIMARILY IN THE UNITED KINGDOM","","F","","MS Catherine Nightingale","Royal Voluntary Service","Cardiff Gate Beck Court","Cardiff Gate Business Park","Pontprennau","Cardiff","029 2073 9119                      ","","ROYAL VOLUNTARY SERVICE","Beck Court, Cardiff Gate Business Park,
Cardiff,
CF23 8RP","02520413","47110,
49390,
56290,
96090",14.1,0.9,0,0,0,0,26,74,17,83,24,76,33,67,"","John Clark (Executive Director of Finance)","1000 to 4999","ROYAL VOLUNTARY SERVICE","False"
